neuron,category,formula,threshold
0,(scene OR object OR object),(reception-s OR work surface OR bar),5.1
1,(part OR scene OR scene),(shop window OR pantry-s OR liquor store-outdoor-s),5.0
2,(object OR scene OR scene),(sea OR marsh-s OR lake-natural-s),4.6
3,(scene OR scene OR scene),(auditorium-s OR movie theater-indoor-s OR theater-indoor procenium-s),4.6
4,(scene OR scene OR scene),(courthouse-s OR throne room-s OR ballroom-s),5.4
5,(object OR scene OR scene),(toilet OR slum-s OR pantry-s),4.4
6,(scene OR object OR object),(gazebo-exterior-s OR tent OR dome),4.8
7,(scene OR scene OR scene),(vineyard-s OR orchard-s OR corn field-s),3.7
8,(scene OR object OR object),(greenhouse-indoor-s OR flower OR greenhouse),4.6
9,((object AND color) OR scene),((grass AND green-c) OR ball pit-s),4.4
10,((scene OR scene) AND NOT object),((highway-s OR field-cultivated-s) AND NOT sky),4.4
11,((object OR scene) AND NOT part),((person OR booth-indoor-s) AND NOT head),3.5
12,((scene AND object) OR scene),((dining room-s AND table) OR fire escape-s),4.1
13,(scene OR scene OR object),(islet-s OR cavern-indoor-s OR canopy),4.1
14,(scene OR object OR object),(boxing ring-s OR fence OR grandstand),5.2
15,(scene OR scene OR object),(operating room-s OR hospital room-s OR cradle),5.4
16,(scene OR scene OR object),(ice skating rink-indoor-s OR basketball court-indoor-s OR windmill),3.9
17,(scene OR scene OR scene),(conference room-s OR auditorium-s OR conference center-s),5.3
18,(scene OR scene OR object),(badlands-s OR forest-needleleaf-s OR slot machine),4.3
19,(scene OR object OR material),(bakery-shop-s OR case OR food),4.3
20,(object OR scene OR scene),(house OR motel-s OR zen garden-s),4.4
21,(object OR scene OR scene),(bookcase OR fire station-s OR videostore-s),4.3
22,(object OR scene OR scene),(bridge OR river-s OR rope bridge-s),5.4
23,(scene OR scene OR scene),(kitchen-s OR youth hostel-s OR galley-s),5.2
24,(object OR object OR object),(fireplace OR buffet OR pulpit),6.8
25,(scene OR scene OR object),(corridor-s OR sauna-s OR elevator),5.0
26,(object OR scene OR scene),(pillar OR aqueduct-s OR viaduct-s),4.1
27,(scene OR part OR scene),(cockpit-s OR wave OR viaduct-s),3.1
28,(scene OR scene OR scene),(alley-s OR medina-s OR kasbah-s),5.1
29,(object OR object OR scene),(house OR porch OR inn-outdoor-s),6.2
30,((scene OR scene) AND NOT object),((balcony-interior-s OR dinette-home-s) AND NOT wall),5.5
31,(object OR object OR object),(pool table OR arcade machine OR television camera),4.6
32,(color OR scene OR scene),(red-c OR fire station-s OR bullring-s),4.4
33,(scene OR scene OR scene),(badlands-s OR desert-sand-s OR oasis-s),4.4
34,((object OR scene) AND NOT part),((bed OR childs room-s) AND NOT footboard),5.6
35,(scene OR object OR object),(beach-s OR tent OR hovel),4.6
36,(object OR object OR object),(boat OR ship OR aircraft carrier),4.5
37,(scene OR scene OR scene),(corridor-s OR airplane cabin-s OR subway interior-s),4.2
38,(scene OR scene OR scene),(lighthouse-s OR bullring-s OR fairway-s),3.9
39,((object AND scene) OR object),((bed AND bedroom-s) OR pool table),5.0
40,(scene OR object OR object),(cockpit-s OR pool table OR lockers),4.1
41,(scene OR object OR object),(butchers shop-s OR rubble OR carousel),3.9
42,((object AND NOT color) AND scene),((bed AND NOT black-c) AND bedroom-s),11.4
43,(scene OR scene OR scene),(playground-s OR moon bounce-s OR sandbox-s),4.5
44,(object OR object OR scene),(washer OR waterfall OR crevasse-s),4.8
45,((object OR part) AND NOT scene),((house OR roof) AND NOT bow window-outdoor-s),4.9
46,(object OR object OR object),(pool table OR washer OR arcade machine),4.5
47,(object OR part OR object),(pool table OR crosswalk OR tennis court),5.0
48,(object OR object OR object),(sink OR toilet OR countertop),5.4
49,(scene OR scene OR scene),(conference room-s OR lecture room-s OR banquet hall-s),4.7
50,(scene OR scene OR object),(cemetery-s OR mausoleum-s OR hovel),3.6
51,(scene OR object OR object),(reception-s OR ticket counter OR box office),4.8
52,(scene OR scene OR scene),(forest-broadleaf-s OR forest path-s OR forest road-s),5.3
53,(scene OR object OR object),(sauna-s OR hovel OR pier),4.7
54,(scene OR scene OR scene),(airport terminal-s OR shopping mall-indoor-s OR airport ticket counter-s),4.7
55,(scene OR object OR scene),(kasbah-s OR ruins OR medina-s),4.3
56,((scene AND object) OR object),((dining room-s AND table) OR pool table),6.3
57,(scene OR scene OR scene),(excavation-s OR earth fissure-s OR sandbox-s),4.3
58,(scene OR scene OR object),(closet-s OR gas station-s OR telephone booth),4.3
59,(object OR scene OR scene),(plane OR galley-s OR heliport-s),3.8
60,(scene OR scene OR object),(locker room-s OR fitting room-interior-s OR screen door),5.2
